ZINC SMILES,Generated IUPAC,OPSIN SMILES,OPSIN Errors
CC(C)(C)OC(=O)N1C[C@H]2CC[C@H]1[C@H]2C(=O)N1CC(O)(C(F)(F)C(=O)O)C1,"(2S)-2-methyl-2-{[(2S)-3,4-dihydropyran-2-ylmethyl]amino}-5-(methylamino)pentanoic acid",C[C@@](C(=O)O)(CCCNC)NC[C@H]1OC=CCC1,""
CO[C@H](C)CNC[C@H](C)NC(=O)[C@@H](C)OC,"2-ethyl-4-({[(1R)-1-methyl-2-((2R)-2-methoxypropanamido)ethyl](methyl)amino}methyl)-1,3,5-triazine",C(C)C1=NC=NC(=N1)CN(C)[C@@H](CNC([C@@H](C)OC)=O)C,""
CC[C@@H](C(=O)N1CCO[C@@]2(COCCN(C(=O)CS(=O)(=O)N3CCCC3)C2)C1)N(CC)CC,(S)-3-methoxy-3-[2-(N-propylamino)ethoxy]tetrahydrofuran,CO[C@]1(COCC1)OCCNCCC,""
O=C1Nc2cc(C(=O)NCc3ccco3)ccc2S/C1=C\c1ccccc1Cl,"N-[(1R,5S)-5-cyanocyclohexane-1-carbonyl]-(2R,4S)-4-hydroxy-2-methoxypyrrolidine",C(#N)[C@H]1CCC[C@H](C1)C(=O)N1[C@@H](C[C@@H](C1)O)OC,""
Cc1cc(Cl)c(NC(=O)N[C@]2(C)CCN(C(=O)OCc3ccccc3)C2)cc1C,"(2R,3S)-1-isopropyl-2-hydroxy-3-[(4S,5R)-4-methyl-2-oxotetrahydrofuran-5-yl]pyrrolidine",C(C)(C)N1[C@@H]([C@@H](CC1)[C@H]1[C@H](CC(O1)=O)C)O,""
Nc1cc(C(=O)NCc2[nH]ccc(=O)c2O)cc(Cl)n1,1-ethyl-4-[2-(1-carboxy-spiro[2.4]heptan-1-yl)ethyl]-1H-tetrazole,C(C)N1N=NN(C1)CCC1(CC12CCCC2)C(=O)O,""
Cc1nc(CN[C@@H](C)c2cnccc2C)no1,"N1-((1R)-1-methyl-1,2,5-oxazan-2-yl)-N3-[((2R)-2-methyltetrahydropyran-6-yl)methyl]guanidine","","N1-((1R)-1-methyl-1,2,5-oxazan-2-yl)-N3-[((2R)-2-methyltetrahydropyran-6-yl)methyl]guanidine is unparsable due to the following being uninterpretable: 1,2,5-oxazan-2-yl)-N3-[((2R)-2-methyltetrahydropyran-6-yl)methyl]guanidine The following was not parseable: n-2-yl)-N3-[((2R)-2-methyltetrahydropyran-6-yl)methyl]guanidine "
CO[C@@H]1CN[C@H](C(=O)N(C)CC[C@@H]2CC[C@@H]2OC)C1,"(1R,4S)-4-(hydroxymethyl)-1-methyl-4-{[(2S)-4-methyl-2-(2-hydroxyethyl)piperazin-1-yl]methyl}cyclohexane","","Could not find atom that: <stereoChemistry locant=""1"" type=""RorS"" value=""R"" stereoGroup=""Abs"">1R</stereoChemistry> appeared to be referring to "
C[C@H]1C[C@H](c2cccnc2)N(CC(=O)NNC(=O)c2ccc([N+](=O)[O-])cc2)C1,"(4S,5R,16S,19R)-16-chloro-19-ethyl-19-(hydroxymethyl)-2,3,4,5,6,7,18,19-octahydro-1H-1,17-diazacycloheptadecino[14,15,16-cd]indole-2-one","",Atom is in unphysical valency state! Element: N valency: 4 
COC1(CN[C@@]23CCCN(C(=O)OC(C)(C)C)C[C@H]2C3)CCC1,"(1R,5S)-3-amino-N-(2-(thiazol-4-yl)ethyl)bicyclo[3.1.0]hexane-6-carboxamide",NC1C[C@H]2C([C@H]2C1)C(=O)NCCC=1N=CSC1,""
CCc1nn(C)cc1N[C@H](C)C(=O)N(C)C,1-guanidino-8-[(methoxycarbonimidoyl)amino]octane,N(C(=N)N)CCCCCCCCNC(=N)OC,""
COC(=O)[C@H]1CN(C)CCN1[C@@H]1CCCCC1=O,"(2S)-2-amino-2-[(1R)-1,4-diazabicyclo[2.2.2]octan-2-yl]-1-(2H-thieno[2,3-c]pyrrol-3-yl)ethan-1-ol","","Could not find atom that: <stereoChemistry locant=""1"" type=""RorS"" value=""R"" stereoGroup=""Abs"">1R</stereoChemistry> appeared to be referring to "
Cc1c(C(=O)NC[C@H]2CCCC[C@H]2CN)nnn1C,(1R)-1-(4-methylphenyl)-2-[((1R)-1-methyl-3-((2R)-1-(tert-butoxycarbonyl)piperidin-2-yl)propyl)amino]propan-1-ol,CC1=CC=C(C=C1)[C@H](C(C)N[C@@H](CC[C@@H]1N(CCCC1)C(=O)OC(C)(C)C)C)O,""
C[C@@H](CCN(C)C(=O)OC(C)(C)C)NC1CC(n2cccn2)C1,"1-[((2R,5R)-5-methoxytetrahydrofuran-2-yl)methyl]-8-[N-(2-methoxyethyl)-N-(prop-2-en-1-yl)amino]-3-[(1R)-1-(methylsulfonyl)cyclopropyl]-[1,2,4]triazolo[4,3-a]pyrimidine","",Failed to assign all double bonds! (Check that indicated hydrogens have been appropriately specified) 
CC/C=C\CCn1cc(OC)cn1,"(S)-1-(aminomethyl)-1-(tetrahydropyran-4-yl)-5-((1S,3R)-3-methyl-2-oxa-5-azabicyclo[2.2.2]octan-1-yl)methanamine","",Cannot find in scope fragment with atom with locant 5. 
COC[C@@](NCCCN(C)C)(C(=O)O)C1CC1,"(2R,4R)-4-amino-2-methoxy-6-((4-(1H-tetrazol-5-yl)cyclohex-1-en-1-yl)methoxy)tetrahydro-2H-pyran",N[C@@H]1C[C@@H](OC(C1)OCC1=CCC(CC1)C1=NN=NN1)OC,""
